Timestamp,Username,Event,Details
2026-08-25 14:04:28,Tina,Tab Switched,Browser Activity
2026-08-25 14:04:48,Tina,Face Absent,No face detected
2026-08-25 14:04:55,Tina,Face Present,Student returned after 9.3 seconds
2026-08-25 14:05:03,Tina,Face Absent,No face detected
2026-08-25 14:05:27,Tina,Face Present,Student returned after 0.2 seconds
2026-08-25 14:05:39,Tina,Face Absent,No face detected
2026-08-25 14:05:42,Tina,Face Present,Student returned after 5.7 seconds
2026-08-25 14:05:49,Tina,Face Absent,No face detected
2026-08-25 14:05:58,Tina,Face Present,Student returned after 10.9 seconds
2026-08-25 14:06:00,Tina,Face Absent,No face detected
2026-08-25 14:06:06,Tina,Face Present,Student returned after 8.4 seconds
2026-08-25 14:06:11,Tina,Face Absent,No face detected
2026-08-25 14:06:19,Tina,Face Present,Student returned after 1.2 seconds
2026-08-25 14:06:21,Tina,Face Absent,No face detected
2026-08-25 14:08:57,Tina,Face Present,Student returned after 158.1 seconds
2026-08-25 14:09:03,Tina,Face Absent,No face detected
2026-08-25 14:09:07,Tina,Face Present,Student returned after 0.1 seconds
2026-08-25 14:09:10,Tina,Face Absent,No face detected
2026-08-25 14:09:25,Tina,Face Present,Student returned after 17.6 seconds
2026-08-25 14:09:28,Tina,Face Absent,No face detected
2026-08-25 14:09:34,Tina,Face Present,Student returned after 8.3 seconds
2026-08-25 14:09:39,Tina,Face Absent,No face detected
2026-08-25 14:09:42,Tina,Face Present,Student returned after 4.9 seconds
2026-08-25 14:09:45,Tina,Face Absent,No face detected
2026-08-25 14:09:55,Tina,Face Present,Student returned after 0.1 seconds
2026-08-25 14:09:58,Tina,Face Absent,No face detected
2026-08-25 14:16:08,Tina,Tab Switched,Browser Activity
2026-08-25 14:16:19,Tina,Face Absent,No face detected
2026-08-25 14:16:20,Tina,Face Present,Student returned after 3.0 seconds
2026-08-25 14:16:23,Tina,Face Absent,No face detected
2026-08-25 14:16:27,Tina,Face Present,Student returned after 6.2 seconds
2026-08-25 14:16:35,Tina,Face Absent,No face detected
2026-08-25 14:16:55,Tina,Face Present,Student returned after 21.9 seconds
2026-08-25 14:16:59,Tina,Face Absent,No face detected
2026-08-25 14:17:00,Tina,Face Present,Student returned after 2.8 seconds
2026-08-25 14:17:06,Tina,Face Absent,No face detected
2026-08-25 14:17:06,Tina,Face Present,Student returned after 0.2 seconds
